,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,
33,251,253,250,253,250,253,251,253,250,266,253,250,253,250,253,250,253,250,253,250,253,251,253,250,253,262,253,250,253,252,250,253,250,336,333,336,337,334,337,378,337,334,337,336,333,336,337,334,337,336,333,350,336,335,336,333,336,337,334,337,336,333,349,336,334,
34,253,250,253,250,254,250,253,250,253,251,253,250,286,250,253,250,253,252,250,253,250,253,250,253,250,253,250,254,267,250,254,250,253,333,336,337,334,336,336,333,337,349,333,337,335,337,334,337,336,333,334,337,336,366,337,336,333,337,337,333,336,336,334,337,337,
35,263,254,250,254,252,250,253,251,253,250,253,250,254,250,253,250,267,253,250,253,250,254,250,264,253,250,253,250,254,250,253,285,254,333,337,352,333,336,337,334,337,336,333,350,337,333,336,336,334,337,337,333,336,337,334,353,337,334,339,334,336,337,333,336,337,
36,250,253,250,287,251,254,250,253,250,253,250,254,250,253,250,253,250,253,250,266,250,253,252,250,254,251,253,250,253,250,254,250,253,336,346,337,336,333,336,337,334,337,336,333,337,337,365,337,337,335,336,333,337,337,333,336,336,334,349,336,334,337,336,333,336,
37,250,253,250,254,250,253,266,250,253,250,252,253,250,254,251,253,250,253,250,253,251,253,282,253,250,253,250,254,251,253,250,253,250,336,336,333,350,336,334,337,335,337,333,336,337,334,338,336,349,333,336,337,334,337,336,333,336,337,334,337,369,334,337,335,336,
38,250,254,250,253,250,253,250,254,250,266,250,253,250,253,250,254,250,253,250,253,250,254,250,253,253,262,254,250,253,252,250,254,250,336,334,337,336,333,336,368,337,333,337,337,333,336,337,334,337,336,333,350,336,335,333,336,337,334,337,336,333,337,337,349,334,
39,253,250,253,250,253,250,254,250,253,250,253,250,254,282,253,250,253,252,250,253,250,253,250,254,250,253,250,253,263,254,250,254,250,337,337,333,336,337,334,337,336,349,333,337,336,337,334,336,336,333,337,337,333,368,337,337,333,336,337,334,337,336,333,337,337,
40,262,254,250,254,252,250,254,250,253,250,253,250,254,250,253,250,264,250,253,250,254,250,253,250,253,250,254,250,253,250,253,250,286,336,333,335,336,336,333,337,337,333,336,336,346,337,336,334,337,337,333,336,337,334,337,336,349,333,336,335,336,333,336,337,334,
41,253,250,253,282,250,253,250,255,250,253,250,253,250,254,250,253,250,253,250,267,250,254,251,252,253,250,253,250,253,250,254,250,253,333,349,337,334,337,336,333,336,337,334,337,336,333,369,337,336,335,333,336,336,334,337,336,333,336,350,333,336,337,334,337,336,
42,250,253,250,253,250,253,250,267,250,253,252,250,253,250,253,251,253,250,253,250,253,250,285,254,250,253,250,254,250,253,250,253,250,337,333,336,336,346,337,337,336,337,333,336,336,333,337,337,333,349,336,334,337,337,333,337,336,333,337,337,368,333,336,335,336,
43,250,253,251,253,250,253,250,253,251,253,263,254,250,253,250,253,250,254,250,253,250,253,250,254,250,265,250,253,250,253,251,250,253,336,333,337,337,333,336,375,334,337,336,333,337,337,333,336,336,334,337,350,334,337,335,337,336,333,336,337,334,337,336,345,337,
44,253,250,254,250,253,250,253,250,254,250,253,250,253,282,254,250,254,252,250,253,250,254,250,253,250,253,250,254,250,266,251,253,250,336,337,334,337,336,333,337,337,345,337,336,335,336,333,337,337,333,336,336,333,369,337,333,337,337,333,336,337,334,337,336,333,
45,266,250,253,250,253,252,250,253,251,253,250,250,253,250,254,250,266,250,254,250,253,250,253,250,254,251,253,250,253,250,254,250,286,333,337,335,336,336,334,337,336,333,336,337,347,336,337,334,337,336,333,337,337,333,336,337,346,337,337,335,337,333,336,336,334,
46,253,250,253,285,254,250,253,250,253,251,253,250,253,250,254,254,250,253,250,267,250,253,250,251,253,250,254,250,253,250,253,250,254,334,349,337,333,336,337,334,337,336,333,337,337,333,369,337,334,339,334,336,336,333,337,337,333,336,350,333,336,336,334,337,337,
47,250,254,250,253,250,253,251,266,250,254,252,250,253,251,253,250,253,250,254,251,253,250,286,250,254,250,254,250,253,250,253,250,254,337,333,336,336,346,337,336,335,336,334,337,337,333,336,336,334,349,337,333,336,337,334,337,337,333,336,337,366,337,336,335,337,
48,250,254,250,253,250,253,251,253,250,253,263,253,250,253,250,254,250,253,250,253,250,253,250,253,250,254,263,253,250,253,251,250,253,336,333,336,337,334,337,369,334,336,337,334,337,335,337,336,333,337,337,350,337,336,335,333,337,337,334,336,336,333,337,349,334,
49,250,254,250,253,250,253,250,254,250,253,250,253,250,287,250,253,250,252,253,250,253,250,253,250,253,250,253,251,253,263,254,250,253,333,337,337,334,336,336,334,337,337,345,333,336,335,336,333,337,338,333,336,336,366,337,337,334,337,336,336,334,337,337,333,336,
50,263,253,250,253,252,250,253,250,253,251,253,250,253,250,253,251,265,254,250,253,250,253,250,253,251,253,250,253,250,254,250,253,282,337,333,338,333,336,336,334,337,336,333,336,350,333,336,337,334,336,336,333,337,337,333,336,349,336,333,335,336,337,334,337,336,
51,250,254,250,253,283,254,250,254,251,253,250,253,250,254,250,253,250,253,250,266,250,254,250,253,252,251,253,250,253,250,253,251,253,337,334,349,337,333,336,337,334,337,336,333,336,337,366,338,337,335,337,333,336,336,334,337,337,333,349,337,333,336,337,334,337,
52,253,250,253,250,253,250,254,263,253,250,253,251,250,253,250,254,250,253,250,253,250,254,250,286,250,253,250,253,250,253,251,253,250,336,337,334,337,349,334,337,335,337,336,333,336,337,334,337,336,345,337,336,334,337,337,333,336,337,334,337,336,366,337,337,345,
53,254,250,253,250,253,250,254,250,253,250,267,250,253,250,253,250,253,250,253,250,253,250,253,250,253,250,265,250,254,250,263,253,253,334,337,336,333,336,337,366,337,336,334,337,336,333,337,337,333,336,336,347,337,336,348,337,337,333,336,337,334,337,336,346,337,
54,250,254,251,253,250,253,250,253,251,253,250,253,250,287,254,250,254,252,250,253,250,253,250,253,250,254,250,253,250,266,250,253,250,336,336,333,337,337,333,336,336,333,349,337,335,333,336,337,334,338,336,333,337,337,369,333,337,336,333,336,337,334,337,336,333,
55,253,263,253,250,253,252,250,253,250,253,251,253,250,253,250,254,263,253,250,254,250,253,250,253,250,254,250,253,250,253,250,254,286,334,337,335,336,333,336,337,334,337,336,333,349,337,336,333,337,337,333,336,336,334,337,337,345,337,336,335,333,337,337,333,336,
56,253,250,253,251,286,250,253,250,253,250,253,251,253,250,253,250,254,250,253,250,266,250,253,252,250,253,250,253,251,253,250,253,250,338,336,346,336,337,334,337,336,333,337,337,333,428,351,337,333,338,333,336,336,334,337,337,333,336,355,333,337,337,333,336,337,
57,250,254,250,253,250,253,250,266,250,253,252,251,253,250,253,250,254,250,253,250,253,250,254,283,253,250,253,250,253,250,254,250,253,337,334,337,336,346,337,337,335,337,334,337,336,333,337,337,333,349,336,333,336,337,334,337,336,333,337,337,334,369,336,335,336,
58,250,254,250,253,250,253,250,254,250,253,263,378,254,250,253,250,253,250,254,250,253,250,253,273,250,268,250,254,250,264,254,251,253,337,333,336,337,334,337,372,333,337,336,333,337,337,333,336,337,334,337,350,333,336,351,334,337,336,333,336,337,334,348,337,333,
59,253,250,253,250,253,251,253,250,253,250,253,251,287,250,254,251,253,252,250,254,250,253,250,253,250,254,250,253,266,250,253,250,253,333,336,336,334,337,337,333,336,348,333,337,335,338,334,337,336,337,334,337,336,370,337,334,337,336,333,337,337,333,336,336,334,
60,267,250,254,251,263,254,254,250,253,250,253,250,254,251,253,250,266,250,253,250,253,250,253,251,253,250,253,250,253,250,254,283,254,333,336,351,333,337,337,333,336,337,334,350,337,333,336,337,334,337,337,333,336,337,334,349,337,334,339,334,337,336,333,337,337,
61,250,253,250,286,250,253,250,253,250,254,250,253,250,253,250,254,250,253,250,266,250,253,251,250,253,250,254,250,253,250,254,251,253,337,348,337,336,333,336,337,334,337,336,333,337,337,371,337,336,335,337,334,337,336,333,336,337,334,350,337,333,336,337,335,336,
62,250,253,251,253,250,253,262,253,250,253,252,250,253,250,253,251,253,250,253,250,254,250,286,250,254,250,253,250,253,250,253,250,253,334,337,336,350,333,336,335,337,334,337,336,333,336,337,334,349,337,333,336,337,334,337,336,336,334,337,337,365,338,336,335,333,
63,253,250,254,251,253,250,253,253,250,267,250,253,250,254,250,253,250,253,250,254,250,253,250,253,250,266,250,253,251,252,253,250,254,334,337,336,333,337,337,367,337,336,334,337,336,333,336,337,334,333,336,350,333,336,346,337,336,334,337,336,333,336,349,334,337,
64,253,250,253,250,254,250,253,250,253,250,254,250,286,250,254,250,263,254,250,254,250,253,250,253,250,254,251,253,263,254,250,254,251,337,336,333,337,337,333,336,337,346,337,337,347,337,336,333,337,337,333,336,336,367,337,336,334,337,337,333,336,337,334,337,336,
